household_id,lat,lon,district,sector,children_under5,avg_meal_count,water_source,sanitation_tier,income_band,urban_rural,risk_score,risk_tier,top_drivers,intervention
HH00001,-1.955656,30.047895,Nyarugenge,Gitega,2,5.0,piped,open_defecation,low,urban,0.7201410219016756,high,Sanitation access | Income level | Number of children under 5,Sanitation — install improved latrine (VIP/pour-flush)
HH00012,-1.949092,30.027204,Nyarugenge,Nyarugenge,2,5.0,protected_well,improved,high,urban,0.022553179756794047,low,Water source quality | Number of children under 5 | Meal frequency (low),WASH upgrade — connect to protected/piped water source
HH00013,-1.932154,30.050482,Nyarugenge,Nyarugenge,3,2.0,piped,basic,medium,urban,0.2901494710480659,low,Meal frequency (low) | Income level | Sanitation access,Nutrition — enroll in supplementary feeding (RUTF / Imbuto)
HH00014,-1.951524,30.056343,Nyarugenge,Gitega,3,3.0,protected_well,improved,very_low,urban,0.7298301374899234,high,Income level | Water source quality | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00015,-1.97911,30.023856,Nyarugenge,Gitega,2,4.0,unprotected_well,improved,medium,urban,0.3198594150450275,low,Water source quality | Income level | Number of children under 5,WASH upgrade — connect to protected/piped water source
HH00016,-1.982929,30.054265,Nyarugenge,Gitega,2,3.0,protected_well,basic,medium,urban,0.402122122250862,moderate,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00017,-1.986622,30.036632,Nyarugenge,Gitega,2,4.0,piped,improved,medium,urban,0.031229844143104347,low,Income level | Number of children under 5 | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00018,-1.966494,30.026824,Nyarugenge,Gitega,2,4.0,unprotected_well,basic,medium,urban,0.6087479799919223,high,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00019,-1.970708,30.051309,Nyarugenge,Gitega,2,1.0,piped,limited,low,rural,0.8363940246506422,critical,Income level | Sanitation access | Meal frequency (low),Sanitation — install improved latrine (VIP/pour-flush)
HH00020,-1.93106,30.041358,Nyarugenge,Nyarugenge,0,3.0,piped,improved,medium,urban,0.027153346964811826,low,Income level | Meal frequency (low) | Number of children under 5,Social protection — refer to Ubudehe / cash-transfer programme
HH00021,-1.98439,30.082161,Nyarugenge,Kigali,0,5.0,piped,basic,medium,urban,0.0356490602846821,low,Income level | Sanitation access | Number of children under 5,Sanitation — install improved latrine (VIP/pour-flush)
HH00022,-1.959254,30.06431,Nyarugenge,Kigali,2,2.0,unprotected_well,improved,high,urban,0.2813309524200799,low,Water source quality | Meal frequency (low) | Number of children under 5,WASH upgrade — connect to protected/piped water source
HH00023,-1.95767,30.072686,Nyarugenge,Kigali,3,3.0,river_lake,improved,medium,urban,0.7851805652448335,critical,Water source quality | Income level | Meal frequency (low),WASH upgrade — connect to protected/piped water source
HH00024,-1.983416,30.021796,Nyarugenge,Gitega,4,1.0,unprotected_well,open_defecation,very_low,rural,0.9992726736699445,critical,Income level | Sanitation access | Water source quality,Sanitation — install improved latrine (VIP/pour-flush)
HH00025,-1.929246,30.045274,Nyarugenge,Nyarugenge,3,5.0,protected_well,basic,medium,urban,0.2612320875925861,low,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00026,-1.979502,30.057473,Nyarugenge,Gitega,0,5.0,piped,improved,low,urban,0.03372631611640622,low,Income level | Number of children under 5 | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00027,-1.915018,30.035715,Nyarugenge,Nyarugenge,1,2.0,piped,basic,very_low,urban,0.6848573723745818,high,Income level | Meal frequency (low) | Sanitation access,Social protection — refer to Ubudehe / cash-transfer programme
HH00028,-1.989443,30.069186,Nyarugenge,Kigali,2,3.0,piped,basic,high,urban,0.05500554029217704,low,Sanitation access | Meal frequency (low) | Number of children under 5,Sanitation — install improved latrine (VIP/pour-flush)
HH00029,-1.942009,30.08433,Nyarugenge,Nyarugenge,1,4.0,protected_well,basic,high,urban,0.08862086816217471,low,Water source quality | Sanitation access | Meal frequency (low),WASH upgrade — connect to protected/piped water source
HH00030,-1.974097,30.032038,Nyarugenge,Gitega,1,2.0,unprotected_well,limited,very_low,rural,0.9903586269841945,critical,Income level | Water source quality | Sanitation access,Social protection — refer to Ubudehe / cash-transfer programme
HH00031,-1.927792,30.070718,Nyarugenge,Nyarugenge,0,5.0,piped,improved,medium,urban,0.010300786152669068,low,Income level | Number of children under 5 | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00032,-1.912679,30.084349,Nyarugenge,Nyarugenge,0,4.0,piped,basic,high,urban,0.018478657648043084,low,Sanitation access | Meal frequency (low) | Number of children under 5,Sanitation — install improved latrine (VIP/pour-flush)
HH00033,-1.980694,30.041231,Nyarugenge,Gitega,1,5.0,protected_well,limited,low,urban,0.676434543537136,high,Income level | Sanitation access | Water source quality,Sanitation — install improved latrine (VIP/pour-flush)
HH00034,-1.972965,30.086077,Nyarugenge,Kigali,0,3.0,unprotected_well,improved,medium,urban,0.2900403625421639,low,Water source quality | Income level | Meal frequency (low),WASH upgrade — connect to protected/piped water source
HH00035,-1.945789,30.025325,Nyarugenge,Nyarugenge,1,4.0,protected_well,improved,low,urban,0.22729629375275012,low,Income level | Water source quality | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00036,-1.953161,30.026621,Nyarugenge,Gitega,0,4.0,piped,improved,high,urban,0.005242971834552547,low,Meal frequency (low) | Number of children under 5 | Income level,Nutrition — enroll in supplementary feeding (RUTF / Imbuto)
HH00037,-1.947865,30.067292,Nyarugenge,Nyarugenge,3,2.0,protected_well,improved,medium,urban,0.3060547728179434,low,Water source quality | Meal frequency (low) | Income level,WASH upgrade — connect to protected/piped water source
HH00038,-1.955955,30.061739,Nyarugenge,Kigali,2,4.0,piped,improved,medium,urban,0.031229844143104347,low,Income level | Number of children under 5 | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00039,-1.935055,30.0619,Nyarugenge,Nyarugenge,1,3.0,piped,limited,high,urban,0.13391244561551358,low,Sanitation access | Meal frequency (low) | Number of children under 5,Sanitation — install improved latrine (VIP/pour-flush)
HH00040,-1.916257,30.092212,Nyarugenge,Nyarugenge,2,4.0,river_lake,limited,low,urban,0.9841917177498273,critical,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00041,-1.968557,30.080569,Nyarugenge,Kigali,2,5.0,unprotected_well,improved,medium,urban,0.22509899368989378,low,Water source quality | Income level | Number of children under 5,WASH upgrade — connect to protected/piped water source
HH00042,-1.984409,30.079115,Nyarugenge,Kigali,1,4.0,piped,improved,medium,urban,0.022888002919258677,low,Income level | Meal frequency (low) | Number of children under 5,Social protection — refer to Ubudehe / cash-transfer programme
HH00043,-1.92257,30.04375,Nyarugenge,Nyarugenge,3,3.0,unprotected_well,limited,medium,urban,0.9189118783120611,critical,Water source quality | Sanitation access | Income level,WASH upgrade — connect to protected/piped water source
HH00044,-1.956058,30.046103,Nyarugenge,Gitega,1,2.0,unprotected_well,improved,low,urban,0.7406260166250495,high,Water source quality | Income level | Meal frequency (low),WASH upgrade — connect to protected/piped water source
HH00045,-1.962208,30.054429,Nyarugenge,Gitega,2,4.0,piped,basic,high,urban,0.03430742320130574,low,Sanitation access | Number of children under 5 | Meal frequency (low),Sanitation — install improved latrine (VIP/pour-flush)
HH00046,-1.912562,30.030993,Nyarugenge,Nyarugenge,3,3.0,river_lake,limited,medium,urban,0.9764493782293169,critical,Water source quality | Sanitation access | Income level,WASH upgrade — connect to protected/piped water source
HH00047,-1.939865,30.067206,Nyarugenge,Nyarugenge,0,3.0,piped,limited,medium,rural,0.2601618075459603,low,Sanitation access | Income level | Meal frequency (low),Sanitation — install improved latrine (VIP/pour-flush)
HH00048,-1.971361,30.080905,Nyarugenge,Kigali,2,2.0,protected_well,basic,medium,urban,0.5179266617401768,moderate,Water source quality | Meal frequency (low) | Income level,WASH upgrade — connect to protected/piped water source
HH00049,-1.985316,30.023508,Nyarugenge,Gitega,0,5.0,protected_well,improved,low,urban,0.11651693162495111,low,Income level | Water source quality | Number of children under 5,Social protection — refer to Ubudehe / cash-transfer programme
HH00050,-1.914065,30.081003,Nyarugenge,Nyarugenge,0,3.0,piped,improved,medium,urban,0.027153346964811826,low,Income level | Meal frequency (low) | Number of children under 5,Social protection — refer to Ubudehe / cash-transfer programme
HH00051,-1.932484,30.050666,Nyarugenge,Nyarugenge,2,1.0,river_lake,limited,very_low,rural,0.9987956434792821,critical,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00052,-1.934946,30.098931,Nyarugenge,Nyarugenge,3,3.0,protected_well,open_defecation,high,urban,0.7618239111600034,critical,Sanitation access | Water source quality | Meal frequency (low),Sanitation — install improved latrine (VIP/pour-flush)
HH00053,-1.92647,30.074888,Nyarugenge,Nyarugenge,1,4.0,piped,improved,low,urban,0.07278939909914883,low,Income level | Meal frequency (low) | Number of children under 5,Social protection — refer to Ubudehe / cash-transfer programme
HH00054,-1.972307,30.032077,Nyarugenge,Gitega,3,3.0,unprotected_well,basic,high,urban,0.5228617787499841,moderate,Water source quality | Sanitation access | Meal frequency (low),WASH upgrade — connect to protected/piped water source
HH00055,-1.956524,30.024257,Nyarugenge,Gitega,2,5.0,river_lake,basic,low,urban,0.9177496300187888,critical,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00056,-1.98884,30.029633,Nyarugenge,Gitega,3,2.0,piped,basic,high,urban,0.11549088349500962,low,Meal frequency (low) | Sanitation access | Number of children under 5,Nutrition — enroll in supplementary feeding (RUTF / Imbuto)
HH00057,-1.989783,30.022066,Nyarugenge,Gitega,1,4.0,protected_well,limited,medium,urban,0.5133978177031264,moderate,Sanitation access | Water source quality | Income level,Sanitation — install improved latrine (VIP/pour-flush)
HH00058,-1.917961,30.094224,Nyarugenge,Nyarugenge,0,3.0,protected_well,basic,low,urban,0.5386135042949679,moderate,Income level | Water source quality | Sanitation access,Social protection — refer to Ubudehe / cash-transfer programme
HH00059,-1.969819,30.089808,Nyarugenge,Kigali,3,2.0,protected_well,limited,high,urban,0.6140264843505207,high,Sanitation access | Water source quality | Meal frequency (low),Sanitation — install improved latrine (VIP/pour-flush)
HH00060,-1.93917,30.076792,Nyarugenge,Nyarugenge,2,2.0,river_lake,basic,high,urban,0.8208319293359322,critical,Water source quality | Meal frequency (low) | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00061,-1.961617,30.026925,Nyarugenge,Gitega,2,2.0,piped,improved,very_low,urban,0.4729139842013465,moderate,Income level | Meal frequency (low) | Number of children under 5,Social protection — refer to Ubudehe / cash-transfer programme
HH00062,-1.964544,30.082897,Nyarugenge,Kigali,2,3.0,piped,limited,medium,urban,0.3918497383184425,moderate,Sanitation access | Income level | Meal frequency (low),Sanitation — install improved latrine (VIP/pour-flush)
HH00063,-1.952376,30.065938,Nyarugenge,Kigali,0,4.0,piped,improved,medium,urban,0.01674763471577711,low,Income level | Meal frequency (low) | Number of children under 5,Social protection — refer to Ubudehe / cash-transfer programme
HH00064,-1.978877,30.032188,Nyarugenge,Gitega,1,5.0,piped,basic,low,urban,0.14388261915154235,low,Income level | Sanitation access | Number of children under 5,Social protection — refer to Ubudehe / cash-transfer programme
HH00065,-1.966468,30.032682,Nyarugenge,Gitega,0,3.0,piped,improved,medium,urban,0.027153346964811826,low,Income level | Meal frequency (low) | Number of children under 5,Social protection — refer to Ubudehe / cash-transfer programme
HH00066,-1.967369,30.04808,Nyarugenge,Gitega,3,2.0,protected_well,basic,medium,urban,0.5917547226062478,high,Water source quality | Meal frequency (low) | Income level,WASH upgrade — connect to protected/piped water source
HH00067,-1.96496,30.074426,Nyarugenge,Kigali,0,4.0,piped,basic,low,urban,0.16637543698002172,low,Income level | Sanitation access | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00068,-1.929189,30.08399,Nyarugenge,Nyarugenge,0,2.0,piped,limited,medium,urban,0.3599302550173123,moderate,Sanitation access | Meal frequency (low) | Income level,Sanitation — install improved latrine (VIP/pour-flush)
HH00069,-1.987777,30.031224,Nyarugenge,Gitega,0,2.0,piped,improved,medium,urban,0.043772752114178734,low,Meal frequency (low) | Income level | Number of children under 5,Nutrition — enroll in supplementary feeding (RUTF / Imbuto)
HH00070,-1.916913,30.088524,Nyarugenge,Nyarugenge,0,4.0,piped,improved,low,urban,0.054006239410715015,low,Income level | Meal frequency (low) | Number of children under 5,Social protection — refer to Ubudehe / cash-transfer programme
HH00071,-1.950181,30.090884,Nyarugenge,Kigali,4,2.0,protected_well,limited,very_low,rural,0.9851844163685575,critical,Income level | Sanitation access | Water source quality,Social protection — refer to Ubudehe / cash-transfer programme
HH00072,-1.989571,30.068362,Nyarugenge,Kigali,3,3.0,piped,improved,high,urban,0.02203345625587939,low,Meal frequency (low) | Number of children under 5 | Income level,Nutrition — enroll in supplementary feeding (RUTF / Imbuto)
HH00073,-1.916437,30.099226,Nyarugenge,Nyarugenge,1,5.0,piped,improved,medium,urban,0.014098639948794895,low,Income level | Number of children under 5 | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00074,-1.972649,30.038773,Nyarugenge,Gitega,0,5.0,piped,improved,very_low,urban,0.10137489293506759,low,Income level | Number of children under 5 | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00075,-1.970392,30.083458,Nyarugenge,Kigali,3,2.0,piped,improved,medium,urban,0.10662927911615769,low,Meal frequency (low) | Income level | Number of children under 5,Nutrition — enroll in supplementary feeding (RUTF / Imbuto)
HH00076,-1.924034,30.073616,Nyarugenge,Nyarugenge,2,4.0,protected_well,improved,medium,urban,0.1086205722756735,low,Water source quality | Income level | Number of children under 5,WASH upgrade — connect to protected/piped water source
HH00077,-1.930697,30.08149,Nyarugenge,Nyarugenge,1,3.0,unprotected_well,improved,very_low,urban,0.8465470248894743,critical,Income level | Water source quality | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00078,-1.976376,30.079953,Nyarugenge,Kigali,3,5.0,piped,improved,medium,urban,0.026348538330417604,low,Income level | Number of children under 5 | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00079,-1.976446,30.067664,Nyarugenge,Kigali,1,4.0,piped,limited,medium,urban,0.22914821716108996,low,Sanitation access | Income level | Meal frequency (low),Sanitation — install improved latrine (VIP/pour-flush)
HH00080,-1.989707,30.031121,Nyarugenge,Gitega,2,5.0,protected_well,basic,very_low,urban,0.7198215023972393,high,Income level | Water source quality | Sanitation access,Social protection — refer to Ubudehe / cash-transfer programme
HH00081,-1.913867,30.077656,Nyarugenge,Nyarugenge,0,3.0,river_lake,basic,low,urban,0.9402945891083009,critical,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00082,-1.972396,30.042124,Nyarugenge,Gitega,1,2.0,protected_well,open_defecation,very_low,urban,0.9889344900207808,critical,Income level | Sanitation access | Water source quality,Sanitation — install improved latrine (VIP/pour-flush)
HH00083,-1.93614,30.02991,Nyarugenge,Nyarugenge,3,4.0,piped,basic,medium,urban,0.13484341364261695,low,Income level | Sanitation access | Number of children under 5,Sanitation — install improved latrine (VIP/pour-flush)
HH00084,-1.910883,30.052926,Nyarugenge,Nyarugenge,3,4.0,protected_well,improved,medium,urban,0.1433437592098116,low,Water source quality | Income level | Number of children under 5,WASH upgrade — connect to protected/piped water source
HH00085,-1.988521,30.034908,Nyarugenge,Gitega,3,5.0,piped,improved,low,urban,0.08321545406857253,low,Income level | Number of children under 5 | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00086,-1.915382,30.079155,Nyarugenge,Nyarugenge,2,2.0,unprotected_well,improved,medium,urban,0.5481800055535453,moderate,Water source quality | Meal frequency (low) | Income level,WASH upgrade — connect to protected/piped water source
HH00087,-1.969415,30.047091,Nyarugenge,Gitega,2,5.0,piped,improved,low,urban,0.061900491764833296,low,Income level | Number of children under 5 | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00088,-1.915889,30.047843,Nyarugenge,Nyarugenge,1,3.0,unprotected_well,improved,medium,urban,0.35773903503086407,moderate,Water source quality | Income level | Meal frequency (low),WASH upgrade — connect to protected/piped water source
HH00089,-1.982496,30.023392,Nyarugenge,Gitega,2,3.0,piped,basic,low,urban,0.3747922503587426,moderate,Income level | Sanitation access | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00090,-1.933682,30.030946,Nyarugenge,Nyarugenge,2,4.0,protected_well,open_defecation,low,urban,0.9365114471295473,critical,Sanitation access | Income level | Water source quality,Sanitation — install improved latrine (VIP/pour-flush)
HH00091,-1.970123,30.025375,Nyarugenge,Gitega,3,2.0,unprotected_well,improved,medium,rural,0.6210696372480975,high,Water source quality | Meal frequency (low) | Income level,WASH upgrade — connect to protected/piped water source
HH00092,-1.964618,30.033732,Nyarugenge,Gitega,2,4.0,piped,open_defecation,low,urban,0.8036874054117271,critical,Sanitation access | Income level | Number of children under 5,Sanitation — install improved latrine (VIP/pour-flush)
HH00093,-1.940596,30.046027,Nyarugenge,Nyarugenge,0,3.0,unprotected_well,improved,low,urban,0.5688432905394452,high,Water source quality | Income level | Meal frequency (low),WASH upgrade — connect to protected/piped water source
HH00094,-1.978025,30.069655,Nyarugenge,Kigali,1,2.0,piped,improved,low,urban,0.17327061478943684,low,Income level | Meal frequency (low) | Number of children under 5,Social protection — refer to Ubudehe / cash-transfer programme
HH00095,-1.958647,30.037535,Nyarugenge,Gitega,1,4.0,piped,open_defecation,low,urban,0.7521979982550722,critical,Sanitation access | Income level | Meal frequency (low),Sanitation — install improved latrine (VIP/pour-flush)
HH00096,-1.918496,30.034814,Nyarugenge,Nyarugenge,5,1.0,unprotected_well,basic,low,rural,0.980592981030733,critical,Water source quality | Income level | Meal frequency (low),WASH upgrade — connect to protected/piped water source
HH00097,-1.948566,30.096782,Nyarugenge,Nyarugenge,2,4.0,piped,improved,medium,urban,0.031229844143104347,low,Income level | Number of children under 5 | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00098,-1.969356,30.032503,Nyarugenge,Gitega,0,5.0,piped,improved,medium,urban,0.010300786152669068,low,Income level | Number of children under 5 | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00099,-1.937917,30.05153,Nyarugenge,Nyarugenge,1,4.0,piped,improved,high,urban,0.0071904318235982935,low,Meal frequency (low) | Number of children under 5 | Income level,Nutrition — enroll in supplementary feeding (RUTF / Imbuto)
HH00100,-1.929673,30.05916,Nyarugenge,Nyarugenge,3,3.0,piped,improved,low,urban,0.1948198562722693,low,Income level | Meal frequency (low) | Number of children under 5,Social protection — refer to Ubudehe / cash-transfer programme
HH00101,-1.980301,30.079195,Nyarugenge,Kigali,0,3.0,protected_well,improved,medium,urban,0.09545256000921318,low,Water source quality | Income level | Meal frequency (low),WASH upgrade — connect to protected/piped water source
HH00102,-1.931569,30.076925,Nyarugenge,Nyarugenge,3,2.0,piped,improved,high,urban,0.03572613622913403,low,Meal frequency (low) | Number of children under 5 | Income level,Nutrition — enroll in supplementary feeding (RUTF / Imbuto)
HH00103,-1.988749,30.024425,Nyarugenge,Gitega,0,2.0,protected_well,improved,medium,urban,0.14696700233123836,low,Water source quality | Meal frequency (low) | Income level,WASH upgrade — connect to protected/piped water source
HH00104,-1.98981,30.094135,Nyarugenge,Kigali,3,5.0,protected_well,improved,low,urban,0.25329405432443963,low,Income level | Water source quality | Number of children under 5,Social protection — refer to Ubudehe / cash-transfer programme
HH00105,-1.971822,30.044137,Nyarugenge,Gitega,0,1.0,river_lake,limited,very_low,rural,0.9977933797777195,critical,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00106,-1.965971,30.028654,Nyarugenge,Gitega,0,5.0,piped,improved,high,urban,0.003211062771011036,low,Number of children under 5 | Meal frequency (low) | Income level,WASH upgrade — connect to protected/piped water source
HH00107,-1.94338,30.078015,Nyarugenge,Nyarugenge,0,3.0,protected_well,basic,medium,urban,0.2669554905462053,low,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00108,-1.944959,30.031497,Nyarugenge,Nyarugenge,3,2.0,protected_well,improved,medium,urban,0.3060547728179434,low,Water source quality | Meal frequency (low) | Income level,WASH upgrade — connect to protected/piped water source
HH00109,-1.950277,30.043386,Nyarugenge,Gitega,1,2.0,piped,limited,low,urban,0.7045892604347175,high,Income level | Sanitation access | Meal frequency (low),Sanitation — install improved latrine (VIP/pour-flush)
HH00110,-1.979073,30.062021,Nyarugenge,Kigali,3,5.0,protected_well,improved,low,urban,0.25329405432443963,low,Income level | Water source quality | Number of children under 5,Social protection — refer to Ubudehe / cash-transfer programme
HH00111,-1.980749,30.054956,Nyarugenge,Gitega,2,2.0,piped,basic,medium,urban,0.23086843114639813,low,Meal frequency (low) | Income level | Sanitation access,Nutrition — enroll in supplementary feeding (RUTF / Imbuto)
HH00112,-1.960969,30.082678,Nyarugenge,Kigali,2,5.0,protected_well,open_defecation,medium,urban,0.7417676839127708,high,Sanitation access | Water source quality | Income level,Sanitation — install improved latrine (VIP/pour-flush)
HH00113,-1.929191,30.052637,Nyarugenge,Nyarugenge,0,2.0,piped,limited,medium,urban,0.3599302550173123,moderate,Sanitation access | Meal frequency (low) | Income level,Sanitation — install improved latrine (VIP/pour-flush)
HH00114,-1.911538,30.034275,Nyarugenge,Nyarugenge,0,2.0,piped,limited,very_low,urban,0.8447070230865172,critical,Income level | Sanitation access | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00115,-1.954865,30.075162,Nyarugenge,Kigali,2,3.0,piped,basic,low,urban,0.3747922503587426,moderate,Income level | Sanitation access | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00116,-1.945815,30.092318,Nyarugenge,Nyarugenge,0,2.0,unprotected_well,basic,high,urban,0.41417841755528073,moderate,Water source quality | Meal frequency (low) | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00117,-1.950831,30.075086,Nyarugenge,Kigali,2,4.0,protected_well,limited,medium,urban,0.5872992853563188,high,Sanitation access | Water source quality | Income level,Sanitation — install improved latrine (VIP/pour-flush)
HH00118,-1.96676,30.036366,Nyarugenge,Gitega,0,2.0,protected_well,limited,medium,urban,0.6641446938379003,high,Sanitation access | Water source quality | Meal frequency (low),Sanitation — install improved latrine (VIP/pour-flush)
HH00119,-1.984756,30.066515,Nyarugenge,Kigali,2,3.0,protected_well,improved,very_low,urban,0.6668880518527213,high,Income level | Water source quality | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00120,-1.95986,30.055241,Nyarugenge,Gitega,2,3.0,piped,improved,high,urban,0.016090922504248793,low,Meal frequency (low) | Number of children under 5 | Income level,Nutrition — enroll in supplementary feeding (RUTF / Imbuto)
HH00121,-1.988193,30.03926,Nyarugenge,Gitega,3,3.0,river_lake,basic,medium,urban,0.923260838279526,critical,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00122,-1.978209,30.050592,Nyarugenge,Gitega,3,4.0,unprotected_well,limited,very_low,urban,0.9864023947935197,critical,Income level | Water source quality | Sanitation access,Social protection — refer to Ubudehe / cash-transfer programme
HH00123,-1.984488,30.072179,Nyarugenge,Kigali,2,5.0,protected_well,improved,low,urban,0.19864664038857183,low,Income level | Water source quality | Number of children under 5,Social protection — refer to Ubudehe / cash-transfer programme
HH00124,-1.983388,30.07013,Nyarugenge,Kigali,2,4.0,piped,limited,medium,urban,0.28744674557253136,low,Sanitation access | Income level | Number of children under 5,Sanitation — install improved latrine (VIP/pour-flush)
HH00125,-1.933806,30.080801,Nyarugenge,Nyarugenge,1,3.0,protected_well,improved,very_low,urban,0.5969327319382434,high,Income level | Water source quality | Meal frequency (low),Social protection — refer to Ubudehe / cash-transfer programme
HH00126,-1.985984,30.030582,Nyarugenge,Gitega,1,2.0,unprotected_well,improved,medium,urban,0.47249839201828514,moderate,Water source quality | Meal frequency (low) | Income level,WASH upgrade — connect to protected/piped water source
HH00127,-1.955947,30.054983,Nyarugenge,Gitega,1,2.0,piped,improved,medium,urban,0.059277341300926746,low,Meal frequency (low) | Income level | Number of children under 5,Nutrition — enroll in supplementary feeding (RUTF / Imbuto)
HH00128,-1.952399,30.05552,Nyarugenge,Gitega,2,3.0,protected_well,improved,medium,urban,0.16585113627097692,low,Water source quality | Income level | Meal frequency (low),WASH upgrade — connect to protected/piped water source
HH00129,-1.98473,30.065027,Nyarugenge,Kigali,0,4.0,river_lake,improved,very_low,urban,0.9019404704970612,critical,Water source quality | Income level | Meal frequency (low),WASH upgrade — connect to protected/piped water source
HH00130,-1.981691,30.030127,Nyarugenge,Gitega,1,2.0,piped,improved,very_low,urban,0.3979212112956934,moderate,Income level | Meal frequency (low) | Number of children under 5,Social protection — refer to Ubudehe / cash-transfer programme
HH00131,-1.933982,30.062551,Nyarugenge,Nyarugenge,3,4.0,piped,open_defecation,low,urban,0.8466871323426659,critical,Sanitation access | Income level | Number of children under 5,Sanitation — install improved latrine (VIP/pour-flush)
HH00132,-1.943885,30.093653,Nyarugenge,Nyarugenge,3,2.0,piped,improved,medium,urban,0.10662927911615769,low,Meal frequency (low) | Income level | Number of children under 5,Nutrition — enroll in supplementary feeding (RUTF / Imbuto)
