household_id,lat,lon,district,sector,children_under5,avg_meal_count,water_source,sanitation_tier,income_band,urban_rural
HH00055,-1.956524,30.024257,Nyarugenge,Gitega,2,5.0,river_lake,basic,low,urban
HH00056,-1.98884,30.029633,Nyarugenge,Gitega,3,2.0,piped,basic,high,urban
HH00057,-1.989783,30.022066,Nyarugenge,Gitega,1,4.0,protected_well,limited,medium,urban
HH00058,-1.917961,30.094224,Nyarugenge,Nyarugenge,0,3.0,protected_well,basic,low,urban
HH00059,-1.969819,30.089808,Nyarugenge,Kigali,3,2.0,protected_well,limited,high,urban
HH00060,-1.93917,30.076792,Nyarugenge,Nyarugenge,2,2.0,river_lake,basic,high,urban
HH00061,-1.961617,30.026925,Nyarugenge,Gitega,2,2.0,piped,improved,very_low,urban
HH00062,-1.964544,30.082897,Nyarugenge,Kigali,2,3.0,piped,limited,medium,urban
HH00063,-1.952376,30.065938,Nyarugenge,Kigali,0,4.0,piped,improved,medium,urban
HH00064,-1.978877,30.032188,Nyarugenge,Gitega,1,5.0,piped,basic,low,urban
HH00065,-1.966468,30.032682,Nyarugenge,Gitega,0,3.0,piped,improved,medium,urban
HH00066,-1.967369,30.04808,Nyarugenge,Gitega,3,2.0,protected_well,basic,medium,urban
HH00067,-1.96496,30.074426,Nyarugenge,Kigali,0,4.0,piped,basic,low,urban
HH00068,-1.929189,30.08399,Nyarugenge,Nyarugenge,0,2.0,piped,limited,medium,urban
HH00069,-1.987777,30.031224,Nyarugenge,Gitega,0,2.0,piped,improved,medium,urban
HH00070,-1.916913,30.088524,Nyarugenge,Nyarugenge,0,4.0,piped,improved,low,urban
HH00071,-1.950181,30.090884,Nyarugenge,Kigali,4,2.0,protected_well,limited,very_low,rural
HH00072,-1.989571,30.068362,Nyarugenge,Kigali,3,3.0,piped,improved,high,urban
HH00073,-1.916437,30.099226,Nyarugenge,Nyarugenge,1,5.0,piped,improved,medium,urban
HH00074,-1.972649,30.038773,Nyarugenge,Gitega,0,5.0,piped,improved,very_low,urban
HH00075,-1.970392,30.083458,Nyarugenge,Kigali,3,2.0,piped,improved,medium,urban
HH00076,-1.924034,30.073616,Nyarugenge,Nyarugenge,2,4.0,protected_well,improved,medium,urban
HH00077,-1.930697,30.08149,Nyarugenge,Nyarugenge,1,3.0,unprotected_well,improved,very_low,urban
HH00078,-1.976376,30.079953,Nyarugenge,Kigali,3,5.0,piped,improved,medium,urban
HH00079,-1.976446,30.067664,Nyarugenge,Kigali,1,4.0,piped,limited,medium,urban
HH00080,-1.989707,30.031121,Nyarugenge,Gitega,2,5.0,protected_well,basic,very_low,urban
HH00081,-1.913867,30.077656,Nyarugenge,Nyarugenge,0,3.0,river_lake,basic,low,urban
HH00082,-1.972396,30.042124,Nyarugenge,Gitega,1,2.0,protected_well,open_defecation,very_low,urban
HH00083,-1.93614,30.02991,Nyarugenge,Nyarugenge,3,4.0,piped,basic,medium,urban
HH00084,-1.910883,30.052926,Nyarugenge,Nyarugenge,3,4.0,protected_well,improved,medium,urban
HH00085,-1.988521,30.034908,Nyarugenge,Gitega,3,5.0,piped,improved,low,urban
HH00086,-1.915382,30.079155,Nyarugenge,Nyarugenge,2,2.0,unprotected_well,improved,medium,urban
HH00087,-1.969415,30.047091,Nyarugenge,Gitega,2,5.0,piped,improved,low,urban
HH00088,-1.915889,30.047843,Nyarugenge,Nyarugenge,1,3.0,unprotected_well,improved,medium,urban
HH00089,-1.982496,30.023392,Nyarugenge,Gitega,2,3.0,piped,basic,low,urban
HH00090,-1.933682,30.030946,Nyarugenge,Nyarugenge,2,4.0,protected_well,open_defecation,low,urban
HH00091,-1.970123,30.025375,Nyarugenge,Gitega,3,2.0,unprotected_well,improved,medium,rural
HH00092,-1.964618,30.033732,Nyarugenge,Gitega,2,4.0,piped,open_defecation,low,urban
HH00093,-1.940596,30.046027,Nyarugenge,Nyarugenge,0,3.0,unprotected_well,improved,low,urban
HH00094,-1.978025,30.069655,Nyarugenge,Kigali,1,2.0,piped,improved,low,urban
HH00095,-1.958647,30.037535,Nyarugenge,Gitega,1,4.0,piped,open_defecation,low,urban
HH00096,-1.918496,30.034814,Nyarugenge,Nyarugenge,5,1.0,unprotected_well,basic,low,rural
HH00097,-1.948566,30.096782,Nyarugenge,Nyarugenge,2,4.0,piped,improved,medium,urban
HH00098,-1.969356,30.032503,Nyarugenge,Gitega,0,5.0,piped,improved,medium,urban
HH00099,-1.937917,30.05153,Nyarugenge,Nyarugenge,1,4.0,piped,improved,high,urban
HH00100,-1.929673,30.05916,Nyarugenge,Nyarugenge,3,3.0,piped,improved,low,urban
HH00101,-1.980301,30.079195,Nyarugenge,Kigali,0,3.0,protected_well,improved,medium,urban
HH00102,-1.931569,30.076925,Nyarugenge,Nyarugenge,3,2.0,piped,improved,high,urban
HH00103,-1.988749,30.024425,Nyarugenge,Gitega,0,2.0,protected_well,improved,medium,urban
HH00104,-1.98981,30.094135,Nyarugenge,Kigali,3,5.0,protected_well,improved,low,urban
HH00105,-1.971822,30.044137,Nyarugenge,Gitega,0,1.0,river_lake,limited,very_low,rural
HH00106,-1.965971,30.028654,Nyarugenge,Gitega,0,5.0,piped,improved,high,urban
HH00107,-1.94338,30.078015,Nyarugenge,Nyarugenge,0,3.0,protected_well,basic,medium,urban
HH00108,-1.944959,30.031497,Nyarugenge,Nyarugenge,3,2.0,protected_well,improved,medium,urban
HH00109,-1.950277,30.043386,Nyarugenge,Gitega,1,2.0,piped,limited,low,urban
HH00110,-1.979073,30.062021,Nyarugenge,Kigali,3,5.0,protected_well,improved,low,urban
HH00111,-1.980749,30.054956,Nyarugenge,Gitega,2,2.0,piped,basic,medium,urban
HH00112,-1.960969,30.082678,Nyarugenge,Kigali,2,5.0,protected_well,open_defecation,medium,urban
HH00113,-1.929191,30.052637,Nyarugenge,Nyarugenge,0,2.0,piped,limited,medium,urban
HH00114,-1.911538,30.034275,Nyarugenge,Nyarugenge,0,2.0,piped,limited,very_low,urban
HH00115,-1.954865,30.075162,Nyarugenge,Kigali,2,3.0,piped,basic,low,urban
HH00116,-1.945815,30.092318,Nyarugenge,Nyarugenge,0,2.0,unprotected_well,basic,high,urban
HH00117,-1.950831,30.075086,Nyarugenge,Kigali,2,4.0,protected_well,limited,medium,urban
HH00118,-1.96676,30.036366,Nyarugenge,Gitega,0,2.0,protected_well,limited,medium,urban
HH00119,-1.984756,30.066515,Nyarugenge,Kigali,2,3.0,protected_well,improved,very_low,urban
HH00120,-1.95986,30.055241,Nyarugenge,Gitega,2,3.0,piped,improved,high,urban
HH00121,-1.988193,30.03926,Nyarugenge,Gitega,3,3.0,river_lake,basic,medium,urban
HH00122,-1.978209,30.050592,Nyarugenge,Gitega,3,4.0,unprotected_well,limited,very_low,urban
HH00123,-1.984488,30.072179,Nyarugenge,Kigali,2,5.0,protected_well,improved,low,urban
HH00124,-1.983388,30.07013,Nyarugenge,Kigali,2,4.0,piped,limited,medium,urban
HH00125,-1.933806,30.080801,Nyarugenge,Nyarugenge,1,3.0,protected_well,improved,very_low,urban
HH00126,-1.985984,30.030582,Nyarugenge,Gitega,1,2.0,unprotected_well,improved,medium,urban
HH00127,-1.955947,30.054983,Nyarugenge,Gitega,1,2.0,piped,improved,medium,urban
HH00128,-1.952399,30.05552,Nyarugenge,Gitega,2,3.0,protected_well,improved,medium,urban
HH00129,-1.98473,30.065027,Nyarugenge,Kigali,0,4.0,river_lake,improved,very_low,urban
HH00130,-1.981691,30.030127,Nyarugenge,Gitega,1,2.0,piped,improved,very_low,urban
HH00131,-1.933982,30.062551,Nyarugenge,Nyarugenge,3,4.0,piped,open_defecation,low,urban
HH00132,-1.943885,30.093653,Nyarugenge,Nyarugenge,3,2.0,piped,improved,medium,urban
HH00133,-1.958255,30.068478,Nyarugenge,Kigali,3,4.0,unprotected_well,improved,low,urban
HH00134,-1.978764,30.022483,Nyarugenge,Gitega,3,3.0,unprotected_well,basic,medium,rural
HH00135,-1.977234,30.089047,Nyarugenge,Kigali,0,2.0,unprotected_well,limited,low,rural
HH00136,-1.976291,30.067089,Nyarugenge,Kigali,2,3.0,unprotected_well,open_defecation,high,rural
HH00137,-1.950328,30.041257,Nyarugenge,Gitega,2,5.0,protected_well,improved,very_low,urban
HH00138,-1.973874,30.082473,Nyarugenge,Kigali,1,3.0,protected_well,improved,very_low,urban
HH00139,-1.973674,30.037602,Nyarugenge,Gitega,0,4.0,piped,improved,low,urban
HH00140,-1.989209,30.073062,Nyarugenge,Kigali,0,5.0,piped,basic,low,urban
HH00141,-1.938994,30.031092,Nyarugenge,Nyarugenge,2,4.0,piped,basic,very_low,urban
HH00142,-1.961944,30.058117,Nyarugenge,Gitega,1,2.0,protected_well,improved,low,urban
HH00143,-1.922583,30.021858,Nyarugenge,Nyarugenge,1,5.0,piped,limited,low,urban
HH00144,-1.955841,30.072889,Nyarugenge,Kigali,2,3.0,unprotected_well,limited,low,rural
HH00145,-1.913045,30.087466,Nyarugenge,Nyarugenge,1,1.0,river_lake,open_defecation,very_low,rural
HH00146,-1.931742,30.039218,Nyarugenge,Nyarugenge,2,3.0,protected_well,improved,medium,urban
HH00147,-1.957358,30.094423,Nyarugenge,Kigali,1,3.0,piped,improved,medium,urban
HH00148,-1.944467,30.081947,Nyarugenge,Nyarugenge,0,3.0,piped,improved,very_low,urban
HH00149,-1.925213,30.094632,Nyarugenge,Nyarugenge,2,2.0,river_lake,improved,high,urban
HH00150,-1.914606,30.073076,Nyarugenge,Nyarugenge,1,2.0,piped,limited,high,urban
HH00151,-1.962553,30.086107,Nyarugenge,Kigali,0,4.0,river_lake,open_defecation,medium,urban
HH00152,-1.950933,30.032733,Nyarugenge,Gitega,2,3.0,piped,improved,high,urban
HH00153,-1.916715,30.085698,Nyarugenge,Nyarugenge,2,3.0,piped,improved,low,urban
HH00154,-1.914279,30.031513,Nyarugenge,Nyarugenge,2,3.0,unprotected_well,improved,high,urban
HH00155,-1.989979,30.037453,Nyarugenge,Gitega,2,2.0,protected_well,improved,low,urban
HH00156,-1.944125,30.088864,Nyarugenge,Nyarugenge,0,2.0,unprotected_well,improved,low,urban
HH00157,-1.979702,30.090093,Nyarugenge,Kigali,1,3.0,piped,basic,medium,urban
HH00158,-1.981665,30.09006,Nyarugenge,Kigali,0,2.0,piped,improved,high,urban
HH00159,-1.950384,30.025488,Nyarugenge,Gitega,0,5.0,protected_well,improved,medium,urban
HH00160,-1.915086,30.035384,Nyarugenge,Nyarugenge,4,1.0,protected_well,limited,low,rural
HH00161,-1.956858,30.048421,Nyarugenge,Gitega,1,4.0,piped,improved,low,urban
HH00162,-1.973254,30.090316,Nyarugenge,Kigali,1,5.0,unprotected_well,basic,medium,urban
HH00163,-1.967436,30.047066,Nyarugenge,Gitega,2,4.0,piped,improved,medium,urban
HH00164,-1.943122,30.091221,Nyarugenge,Nyarugenge,0,3.0,piped,improved,very_low,urban
HH00165,-1.982181,30.087181,Nyarugenge,Kigali,0,2.0,piped,improved,medium,urban
HH00166,-1.984612,30.094411,Nyarugenge,Kigali,1,4.0,piped,improved,high,urban
HH00167,-1.981784,30.095535,Nyarugenge,Kigali,0,3.0,unprotected_well,improved,high,urban
HH00168,-1.985121,30.054095,Nyarugenge,Gitega,3,2.0,protected_well,limited,medium,urban
HH00169,-1.977043,30.097946,Nyarugenge,Kigali,3,2.0,protected_well,limited,high,urban
HH00170,-1.930253,30.097671,Nyarugenge,Nyarugenge,0,3.0,piped,improved,medium,urban
HH00171,-1.985869,30.094646,Nyarugenge,Kigali,1,3.0,protected_well,improved,medium,urban
HH00172,-1.952929,30.097311,Nyarugenge,Kigali,2,5.0,piped,improved,medium,urban
HH00173,-1.967824,30.072829,Nyarugenge,Kigali,1,3.0,piped,improved,high,urban
HH00174,-1.974436,30.028582,Nyarugenge,Gitega,3,4.0,protected_well,basic,medium,urban
HH00175,-1.923242,30.024206,Nyarugenge,Nyarugenge,3,5.0,unprotected_well,improved,very_low,urban
HH00176,-1.988458,30.087217,Nyarugenge,Kigali,3,2.0,protected_well,improved,low,urban
HH00177,-1.989781,30.051466,Nyarugenge,Gitega,3,3.0,piped,limited,medium,urban
HH00178,-1.983576,30.090996,Nyarugenge,Kigali,3,2.0,piped,improved,very_low,urban
HH00179,-1.926229,30.090252,Nyarugenge,Nyarugenge,2,5.0,piped,improved,low,urban
HH00180,-1.950714,30.084288,Nyarugenge,Kigali,0,2.0,piped,improved,medium,urban
HH00181,-1.938624,30.044304,Nyarugenge,Nyarugenge,2,5.0,unprotected_well,improved,medium,urban
HH00182,-1.983464,30.086733,Nyarugenge,Kigali,1,4.0,piped,basic,high,urban
HH00183,-1.944415,30.035078,Nyarugenge,Nyarugenge,0,4.0,piped,improved,very_low,urban
HH00184,-1.951023,30.063229,Nyarugenge,Kigali,1,3.0,protected_well,limited,low,urban
HH00185,-1.968616,30.059742,Nyarugenge,Gitega,2,3.0,river_lake,improved,low,urban
HH00186,-1.988195,30.057435,Nyarugenge,Gitega,5,1.0,river_lake,basic,medium,rural
HH00187,-1.91337,30.065396,Nyarugenge,Nyarugenge,0,2.0,piped,improved,high,urban
HH00188,-1.942425,30.042884,Nyarugenge,Nyarugenge,2,2.0,river_lake,improved,low,urban
HH00189,-1.956314,30.097735,Nyarugenge,Kigali,2,3.0,protected_well,open_defecation,low,rural
HH00190,-1.951128,30.088194,Nyarugenge,Kigali,1,3.0,piped,improved,medium,urban
HH00191,-1.986903,30.051195,Nyarugenge,Gitega,0,3.0,piped,limited,low,urban
HH00192,-1.981767,30.059029,Nyarugenge,Gitega,3,5.0,piped,improved,very_low,urban
HH00193,-1.983856,30.022533,Nyarugenge,Gitega,1,2.0,piped,basic,very_low,urban
HH00194,-1.981925,30.092023,Nyarugenge,Kigali,1,2.0,protected_well,limited,very_low,urban
HH00195,-1.972486,30.057828,Nyarugenge,Gitega,1,2.0,piped,basic,medium,urban
HH00196,-1.963872,30.046914,Nyarugenge,Gitega,0,5.0,piped,improved,low,urban
HH00197,-1.945708,30.059812,Nyarugenge,Nyarugenge,1,5.0,piped,improved,medium,urban
HH00198,-1.930882,30.053741,Nyarugenge,Nyarugenge,2,4.0,piped,basic,medium,urban
HH00199,-1.97124,30.09587,Nyarugenge,Kigali,4,1.0,unprotected_well,improved,very_low,rural
HH00200,-1.972873,30.085517,Nyarugenge,Kigali,2,3.0,unprotected_well,basic,medium,urban
HH00201,-1.935164,30.054007,Nyarugenge,Nyarugenge,2,3.0,river_lake,limited,very_low,rural
HH00202,-1.960192,30.065246,Nyarugenge,Kigali,3,2.0,piped,basic,low,urban
HH00203,-1.911758,30.032354,Nyarugenge,Nyarugenge,0,3.0,piped,improved,medium,urban
HH00204,-1.921674,30.034014,Nyarugenge,Nyarugenge,1,3.0,piped,improved,high,urban
HH00205,-1.96799,30.048201,Nyarugenge,Gitega,2,3.0,piped,improved,low,urban
HH00206,-1.93207,30.085645,Nyarugenge,Nyarugenge,1,2.0,piped,improved,high,urban
HH00207,-1.959929,30.072554,Nyarugenge,Kigali,2,3.0,piped,improved,medium,urban
HH00208,-1.98056,30.050526,Nyarugenge,Gitega,3,2.0,unprotected_well,improved,low,urban
HH00209,-1.954409,30.096344,Nyarugenge,Kigali,2,5.0,protected_well,improved,high,urban
HH00210,-1.970227,30.036294,Nyarugenge,Gitega,0,5.0,protected_well,basic,low,urban
HH00211,-1.916087,30.099586,Nyarugenge,Nyarugenge,0,2.0,unprotected_well,limited,medium,urban
HH00212,-1.965748,30.097552,Nyarugenge,Kigali,0,2.0,piped,basic,medium,urban
HH00213,-1.952028,30.036115,Nyarugenge,Gitega,2,2.0,unprotected_well,basic,high,urban
HH00214,-1.979412,30.056531,Nyarugenge,Gitega,0,3.0,piped,basic,low,urban
HH00215,-1.939416,30.054397,Nyarugenge,Nyarugenge,3,1.0,unprotected_well,basic,very_low,rural
HH00216,-1.916595,30.037046,Nyarugenge,Nyarugenge,0,5.0,piped,basic,very_low,urban
HH00217,-1.957602,30.023562,Nyarugenge,Gitega,0,2.0,piped,basic,medium,urban
HH00218,-1.973598,30.039177,Nyarugenge,Gitega,3,2.0,unprotected_well,basic,low,urban
HH00219,-1.953066,30.029835,Nyarugenge,Gitega,1,3.0,protected_well,basic,high,urban
HH00220,-1.982585,30.078553,Nyarugenge,Kigali,3,4.0,piped,basic,very_low,urban
HH00221,-1.979811,30.065402,Nyarugenge,Kigali,1,3.0,unprotected_well,improved,medium,urban
HH00222,-1.948595,30.032955,Nyarugenge,Nyarugenge,3,3.0,protected_well,basic,medium,urban
HH00223,-1.980894,30.062021,Nyarugenge,Kigali,2,5.0,unprotected_well,improved,low,urban
HH00224,-1.918766,30.095081,Nyarugenge,Nyarugenge,2,2.0,protected_well,improved,low,urban
HH00225,-1.920026,30.043028,Nyarugenge,Nyarugenge,2,4.0,piped,improved,medium,urban
HH00226,-1.974196,30.091476,Nyarugenge,Kigali,2,3.0,unprotected_well,improved,low,urban
HH00227,-1.958191,30.058425,Nyarugenge,Gitega,1,4.0,protected_well,limited,very_low,urban
HH00228,-1.971043,30.099465,Nyarugenge,Kigali,1,2.0,piped,improved,low,urban
HH00229,-1.950801,30.095341,Nyarugenge,Kigali,0,5.0,piped,basic,medium,urban
HH00230,-1.956816,30.060978,Nyarugenge,Kigali,1,4.0,piped,basic,medium,urban
HH00231,-1.955396,30.061236,Nyarugenge,Kigali,1,2.0,piped,limited,high,urban
HH00232,-1.915336,30.079685,Nyarugenge,Nyarugenge,3,3.0,unprotected_well,improved,medium,urban
HH00233,-1.948913,30.096681,Nyarugenge,Nyarugenge,3,2.0,protected_well,basic,low,urban
HH00234,-1.972019,30.085618,Nyarugenge,Kigali,1,2.0,piped,limited,low,urban
HH00235,-1.911106,30.092231,Nyarugenge,Nyarugenge,1,4.0,unprotected_well,improved,high,urban
HH00236,-1.985196,30.022852,Nyarugenge,Gitega,3,4.0,river_lake,improved,high,urban
HH00237,-1.924764,30.090574,Nyarugenge,Nyarugenge,1,4.0,protected_well,improved,low,urban
HH00238,-1.971294,30.066789,Nyarugenge,Kigali,0,5.0,protected_well,improved,high,urban
HH00239,-1.922558,30.088513,Nyarugenge,Nyarugenge,3,5.0,piped,basic,medium,urban
HH00240,-1.953608,30.031801,Nyarugenge,Gitega,2,3.0,protected_well,improved,medium,urban
HH00241,-1.984597,30.087742,Nyarugenge,Kigali,3,4.0,protected_well,basic,high,urban
HH00242,-1.986532,30.068895,Nyarugenge,Kigali,3,5.0,piped,basic,medium,urban
HH00243,-1.971098,30.079968,Nyarugenge,Kigali,3,4.0,protected_well,limited,medium,urban
HH00244,-1.960499,30.062874,Nyarugenge,Kigali,1,3.0,piped,improved,very_low,urban
HH00245,-1.971977,30.067235,Nyarugenge,Kigali,3,2.0,protected_well,improved,high,rural
HH00246,-1.960661,30.061286,Nyarugenge,Kigali,0,5.0,protected_well,improved,very_low,urban
HH00247,-1.964338,30.07649,Nyarugenge,Kigali,3,4.0,protected_well,improved,very_low,urban
HH00248,-1.956011,30.099953,Nyarugenge,Kigali,1,4.0,piped,improved,medium,urban
HH00249,-1.950389,30.081071,Nyarugenge,Kigali,1,2.0,unprotected_well,open_defecation,very_low,rural
HH00250,-1.956687,30.032128,Nyarugenge,Gitega,3,5.0,piped,open_defecation,very_low,urban
HH00251,-1.977166,30.081891,Nyarugenge,Kigali,1,5.0,protected_well,improved,low,urban
HH00252,-1.976658,30.073227,Nyarugenge,Kigali,1,5.0,piped,improved,low,urban
HH00253,-1.967841,30.020846,Nyarugenge,Gitega,3,2.0,piped,improved,low,urban
HH00254,-1.987803,30.043269,Nyarugenge,Gitega,2,4.0,piped,limited,high,urban
HH00255,-1.987128,30.05211,Nyarugenge,Gitega,2,3.0,unprotected_well,improved,high,urban
HH00256,-1.943998,30.036223,Nyarugenge,Nyarugenge,3,5.0,protected_well,basic,medium,urban
HH00257,-1.930911,30.048773,Nyarugenge,Nyarugenge,1,3.0,piped,improved,medium,urban
HH00258,-1.932433,30.071521,Nyarugenge,Nyarugenge,2,2.0,protected_well,basic,low,urban
HH00259,-1.965864,30.029823,Nyarugenge,Gitega,0,2.0,piped,improved,medium,urban
HH00260,-1.957023,30.097027,Nyarugenge,Kigali,3,3.0,piped,limited,high,urban
HH00261,-1.959479,30.098808,Nyarugenge,Kigali,3,5.0,unprotected_well,open_defecation,medium,urban
HH00262,-1.965447,30.044589,Nyarugenge,Gitega,2,4.0,piped,basic,high,urban
HH00263,-1.916041,30.057797,Nyarugenge,Nyarugenge,0,2.0,piped,improved,very_low,urban
HH00264,-1.943008,30.037566,Nyarugenge,Nyarugenge,0,2.0,piped,limited,low,urban
HH00265,-1.915931,30.039336,Nyarugenge,Nyarugenge,0,5.0,protected_well,limited,medium,urban
HH00266,-1.943976,30.027072,Nyarugenge,Nyarugenge,2,2.0,unprotected_well,basic,medium,rural
HH00267,-1.936598,30.087656,Nyarugenge,Nyarugenge,3,5.0,piped,limited,medium,urban
HH00268,-1.945364,30.090807,Nyarugenge,Nyarugenge,2,2.0,piped,improved,high,urban
HH00269,-1.984408,30.037643,Nyarugenge,Gitega,1,2.0,piped,improved,medium,urban
HH00270,-1.975051,30.046053,Nyarugenge,Gitega,1,3.0,piped,improved,medium,urban
HH00271,-1.974886,30.041218,Nyarugenge,Gitega,3,3.0,protected_well,improved,medium,urban
HH00272,-1.985989,30.091313,Nyarugenge,Kigali,3,2.0,unprotected_well,improved,low,urban
HH00273,-1.924706,30.094333,Nyarugenge,Nyarugenge,3,3.0,river_lake,improved,medium,urban
HH00274,-1.976549,30.099506,Nyarugenge,Kigali,1,4.0,piped,improved,low,urban
HH00275,-1.971005,30.025237,Nyarugenge,Gitega,4,2.0,piped,open_defecation,low,rural
HH00276,-1.973054,30.097204,Nyarugenge,Kigali,2,5.0,piped,open_defecation,medium,urban
HH00277,-1.938821,30.088438,Nyarugenge,Nyarugenge,0,5.0,piped,improved,very_low,urban
HH00278,-1.988757,30.035674,Nyarugenge,Gitega,2,4.0,piped,basic,high,urban
HH00279,-1.976046,30.08867,Nyarugenge,Kigali,0,3.0,piped,improved,low,urban
HH00280,-1.953996,30.073706,Nyarugenge,Kigali,0,5.0,piped,improved,high,urban
HH00281,-1.917722,30.094953,Nyarugenge,Nyarugenge,2,4.0,protected_well,basic,low,urban
